tx_id,scenario_label,is_suspicious,primary_category,expected_triggers_fired,expected_confidence_band,ground_truth_notes
TX20260602001527,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000835,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001006,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000885,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001299,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602000805,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001406,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260602001745,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001923,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001359,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001014,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000919,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001839,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601000971,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001973,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001329,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260601001381,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603001729,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260604001573,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000066,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 3/4 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260603000053,STRUCTURING_SMURFING,YES,C1,C1_structuring,HIGH,"Split 2/6 to same beneficiary; each <2.5L, aggregate >10L in window."
TX20260602001763,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000179,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 2/21 far above account's monthly baseline.
TX20260603000844,CLEAN,NO,CLEAN,,N/A,Routine transaction. Should not be flagged.
TX20260603000197,VELOCITY_SPIKE,YES,C1,C1_velocity,MEDIUM,Velocity burst 20/21 far above account's monthly baseline.
